"index","listing_id","price","nbhood_full"
"119","42882","70 dollars","Staten Island, St. George"
"120","43957","50 dollars","Brooklyn, Bushwick"
"121","44096","40 dollars","Bronx, Highbridge"
"122","44212","125 dollars","Manhattan, East Village"
"123","44221","196 dollars","Manhattan, Financial District"
"124","44229","110 dollars","Brooklyn, Fort Greene"
"125","44288","170 dollars","Manhattan, West Village"
"126","44506","165 dollars","Manhattan, Harlem"
"127","45556","65 dollars","Brooklyn, Fort Greene"
"128","45910","350 dollars","Queens, Ridgewood"
"129","45936","99 dollars","Manhattan, Morningside Heights"
"130","45940","200 dollars","Brooklyn, Williamsburg"
"131","46544","150 dollars","Brooklyn, Park Slope"
"132","46723","90 dollars","Brooklyn, Bedford-Stuyvesant"
"133","46911","120 dollars","Brooklyn, Prospect Heights"
"134","47199","75 dollars","Manhattan, Upper East Side"
"135","47926","275 dollars","Manhattan, Hell's Kitchen"
"136","48719","299 dollars","Manhattan, Lower East Side"
"137","50447","135 dollars","Brooklyn, South Slope"
"138","51485","83 dollars","Manhattan, Lower East Side"
"139","51572","123 dollars","Manhattan, Chelsea"
"140","51850","55 dollars","Queens, Jamaica"
"141","53137","195 dollars","Manhattan, Hell's Kitchen"
"142","53477","265 dollars","Queens, Middle Village"
"143","54158","249 dollars","Brooklyn, Williamsburg"
"144","54508","100 dollars","Brooklyn, Prospect Heights"
"145","54544","121 dollars","Manhattan, Harlem"
"146","54626","45 dollars","Bronx, Highbridge"
"147","54860","100 dollars","Manhattan, East Harlem"
"148","55467","140 dollars","Brooklyn, Williamsburg"
"149","55498","71 dollars","Brooklyn, Bedford-Stuyvesant"
"150","55737","199 dollars","Manhattan, West Village"
"151","55959","69 dollars","Brooklyn, Williamsburg"
"152","56467","130 dollars","Manhattan, East Village"
"153","56525","195 dollars","Brooklyn, Greenpoint"
"154","56859","64 dollars","Manhattan, Harlem"
"155","57166","140 dollars","Queens, Ditmars Steinway"
"156","57297","159 dollars","Brooklyn, Cobble Hill"
"157","57468","189 dollars","Manhattan, East Village"
"158","57618","250 dollars","Manhattan, Hell's Kitchen"
"159","57740","239 dollars","Manhattan, East Village"
"160","57754","305 dollars","Manhattan, Flatiron District"
"161","57874","155 dollars","Manhattan, Harlem"
"162","58059","60 dollars","Manhattan, Harlem"
"163","58062","135 dollars","Brooklyn, Windsor Terrace"
"164","58467","120 dollars","Manhattan, Roosevelt Island"
"165","59014","150 dollars","Manhattan, Lower East Side"
"166","59642","135 dollars","Brooklyn, Greenpoint"
"167","59709","250 dollars","Manhattan, Chinatown"
"168","60164","500 dollars","Manhattan, SoHo"
"169","60457","225 dollars","Manhattan, Greenwich Village"
"170","60666","92 dollars","Manhattan, Harlem"
"171","60680","99 dollars","Manhattan, East Village"
"172","60948","140 dollars","Manhattan, East Harlem"
"173","61406","80 dollars","Manhattan, Harlem"
"174","61492","120 dollars","Manhattan, Chinatown"
"175","61509","110 dollars","Manhattan, Midtown"
"176","62095","65 dollars","Brooklyn, East Flatbush"
"177","62427","130 dollars","Manhattan, East Village"
"178","62430","99 dollars","Brooklyn, Bushwick"
"179","62452","36 dollars","Staten Island, Tompkinsville"
"180","62461","37 dollars","Staten Island, Tompkinsville"
"181","62787","37 dollars","Staten Island, Tompkinsville"
"182","62891","175 dollars","Manhattan, East Village"
"183","62903","205 dollars","Manhattan, Chelsea"
"184","62925","285 dollars","Brooklyn, Greenpoint"
"185","63299","59 dollars","Brooklyn, Williamsburg"
"186","63320","36 dollars","Staten Island, Tompkinsville"
"187","63360","99 dollars","Queens, Astoria"
"188","63546","39 dollars","Brooklyn, Kensington"
"189","63610","105 dollars","Bronx, Eastchester"
"190","63657","135 dollars","Brooklyn, Bedford-Stuyvesant"
"191","63693","390 dollars","Manhattan, East Village"
"192","64000","60 dollars","Brooklyn, Williamsburg"
"193","64107","100 dollars","Brooklyn, Crown Heights"
"194","64277","70 dollars","Brooklyn, Bedford-Stuyvesant"
"195","64314","110 dollars","Brooklyn, Crown Heights"
"196","64365","60 dollars","Brooklyn, Crown Heights"
"197","64707","90 dollars","Manhattan, Little Italy"
"198","64837","68 dollars","Manhattan, East Village"
"199","65019","115 dollars","Manhattan, Upper West Side"
"200","65268","75 dollars","Brooklyn, Bedford-Stuyvesant"
"201","65562","129 dollars","Manhattan, East Village"
"202","65615","130 dollars","Brooklyn, Williamsburg"
"203","65660","95 dollars","Brooklyn, Williamsburg"
"204","65813","75 dollars","Manhattan, Harlem"
"205","66008","190 dollars","Brooklyn, Carroll Gardens"
"206","66026","49 dollars","Brooklyn, Crown Heights"
"207","66251","212 dollars","Manhattan, East Village"
"208","66275","95 dollars","Manhattan, Lower East Side"
"209","66451","140 dollars","Brooklyn, Williamsburg"
"210","66718","135 dollars","Manhattan, Harlem"
"211","66741","150 dollars","Brooklyn, Park Slope"
"212","66974","190 dollars","Brooklyn, Gowanus"
"213","67288","124 dollars","Manhattan, East Harlem"
"214","67299","135 dollars","Brooklyn, Williamsburg"
"215","67397","122 dollars","Manhattan, Morningside Heights"
"216","68099","109 dollars","Manhattan, Upper West Side"
"217","68403","145 dollars","Brooklyn, Bedford-Stuyvesant"
"218","68735","195 dollars","Manhattan, Upper West Side"
